base_asset,reference_price,num_oracles,liquidity_tier,asset_name,p,atomic_resolution,min_exchanges,min_price_change_ppm,price_exponent,step_base_quantum,ticksize_exponent,subticks_per_tick,min_order_size,quantum_conversion_exponent
AAVE,104.0013875787384,6.0,2.0,AAVE,2.0,-8.0,3,4000,-7.0,1000000,-3,1000000,1000000,-9
ADA,0.5578915645787477,8.0,1.0,Cardano,-1.0,-5.0,3,2500,-10.0,1000000,-3,1000000,1000000,-9
AGIX,0.2998161711246464,5.0,2.0,SingularityNET,-1.0,-5.0,3,4000,-10.0,1000000,-3,1000000,1000000,-9
ARB,1.808040337450621,8.0,1.0,Arbitrum,0.0,-6.0,3,2500,-9.0,1000000,-3,1000000,1000000,-9
ATOM,10.43515773845248,5.0,2.0,Cosmos,1.0,-7.0,3,4000,-8.0,1000000,-3,1000000,1000000,-9
AVAX,37.71954260511583,9.0,1.0,Avalanche,1.0,-7.0,3,2500,-8.0,1000000,-3,1000000,1000000,-9
BCH,248.35060005199955,9.0,1.0,Bitcoin Cash,2.0,-8.0,3,2500,-7.0,1000000,-3,1000000,1000000,-9
BLUR,0.5427313815911866,6.0,2.0,Blur,-1.0,-5.0,3,4000,-10.0,1000000,-3,1000000,1000000,-9
BONK,1.3656689992091831e-05,6.0,2.0,Bonk Token,-5.0,-1.0,3,4000,-14.0,1000000,-3,1000000,1000000,-9
BTC,43268.74809041302,8.0,1.0,Bitcoin,4.0,-10.0,3,2500,-5.0,1000000,-3,1000000,1000000,-9
CRV,0.5759404180458887,6.0,2.0,Curve DAO Token,-1.0,-5.0,3,4000,-10.0,1000000,-3,1000000,1000000,-9
DOGE,0.0849246851085976,9.0,1.0,Dogecoin,-2.0,-4.0,3,2500,-11.0,1000000,-3,1000000,1000000,-9
DOT,7.77144432750361,6.0,2.0,Polkadot,0.0,-6.0,3,4000,-9.0,1000000,-3,1000000,1000000,-9
DYDX,2.867965206583886,5.0,2.0,dYdX,0.0,-6.0,3,4000,-9.0,1000000,-3,1000000,1000000,-9
EOS,0.78287539793291,5.0,2.0,Eos,-1.0,-5.0,3,4000,-10.0,1000000,-3,1000000,1000000,-9
ETC,23.3652589399012,8.0,1.0,Ethereum Classic,1.0,-7.0,3,2500,-8.0,1000000,-3,1000000,1000000,-9
ETH,2384.495781229535,9.0,1.0,Ethereum,3.0,-9.0,3,2500,-6.0,1000000,-3,1000000,1000000,-9
FET,0.6786079490390325,6.0,2.0,Fetch AI,-1.0,-5.0,3,4000,-10.0,1000000,-3,1000000,1000000,-9
FIL,5.9792058250840325,7.0,2.0,Filecoin,0.0,-6.0,3,4000,-9.0,1000000,-3,1000000,1000000,-9
FLOW,0.8568556152228026,5.0,2.0,Flow - Dapper Labs,-1.0,-5.0,3,4000,-10.0,1000000,-3,1000000,1000000,-9
FTM,0.4315036092526385,6.0,2.0,Fantom,-1.0,-5.0,3,4000,-10.0,1000000,-3,1000000,1000000,-9
GRT,0.17710303938940591,5.0,2.0,The Graph,-1.0,-5.0,3,4000,-10.0,1000000,-3,1000000,1000000,-9
HBAR,0.08321393758057559,7.0,2.0,Hedera Hashgraph,-2.0,-4.0,3,4000,-11.0,1000000,-3,1000000,1000000,-9
ICP,11.99359798013702,6.0,2.0,Internet Computer,1.0,-7.0,3,4000,-8.0,1000000,-3,1000000,1000000,-9
INJ,38.186727225059606,7.0,2.0,Injective Protocol,1.0,-7.0,3,4000,-8.0,1000000,-3,1000000,1000000,-9
JTO,2.129281209733102,6.0,2.0,Jito,0.0,-6.0,3,4000,-9.0,1000000,-3,1000000,1000000,-9
KAVA,0.8073281808235401,6.0,2.0,Kava,-1.0,-5.0,3,4000,-10.0,1000000,-3,1000000,1000000,-9
LDO,3.066639045357358,5.0,2.0,Lido DAO,0.0,-6.0,3,4000,-9.0,1000000,-3,1000000,1000000,-9
LINK,14.994709375714185,6.0,2.0,ChainLink,1.0,-7.0,3,4000,-8.0,1000000,-3,1000000,1000000,-9
LTC,70.43408042519039,8.0,1.0,Litecoin,1.0,-7.0,3,2500,-8.0,1000000,-3,1000000,1000000,-9
MANA,0.48429058659334734,5.0,2.0,Decentraland,-1.0,-5.0,3,4000,-10.0,1000000,-3,1000000,1000000,-9
MASK,3.681926130810917,5.0,2.0,Mask Network,0.0,-6.0,3,4000,-9.0,1000000,-3,1000000,1000000,-9
MATIC,0.8779483880625218,9.0,1.0,Matic Network,-1.0,-5.0,3,2500,-10.0,1000000,-3,1000000,1000000,-9
MKR,1810.508425126372,5.0,2.0,Maker,3.0,-9.0,3,4000,-6.0,1000000,-3,1000000,1000000,-9
NEAR,3.5214846301812086,7.0,2.0,Near,0.0,-6.0,3,4000,-9.0,1000000,-3,1000000,1000000,-9
OP,3.539201777358964,5.0,2.0,Optimism,0.0,-6.0,3,4000,-9.0,1000000,-3,1000000,1000000,-9
PEPE,1.2585014704380873e-06,6.0,2.0,Pepe,-6.0,0.0,3,4000,-15.0,1000000,-3,1000000,1000000,-9
RNDR,4.247579475597108,6.0,2.0,Render Token,0.0,-6.0,3,4000,-9.0,1000000,-3,1000000,1000000,-9
SEI,0.6548421539302928,7.0,2.0,Sei,-1.0,-5.0,3,4000,-10.0,1000000,-3,1000000,1000000,-9
SHIB,9.923630021784928e-06,7.0,2.0,Shiba Inu,-6.0,0.0,3,4000,-15.0,1000000,-3,1000000,1000000,-9
SNX,3.6860486269106563,6.0,2.0,Synthetix Network Token,0.0,-6.0,3,4000,-9.0,1000000,-3,1000000,1000000,-9
SOL,100.1931392050566,8.0,1.0,Solana,2.0,-8.0,3,2500,-7.0,1000000,-3,1000000,1000000,-9
STX,1.587675861586067,6.0,2.0,Stacks,0.0,-6.0,3,4000,-9.0,1000000,-3,1000000,1000000,-9
SUI,0.969920456133979,6.0,2.0,SuiNetwork,-1.0,-5.0,3,4000,-10.0,1000000,-3,1000000,1000000,-9
TIA,15.21265867541486,7.0,2.0,Celestia,1.0,-7.0,3,4000,-8.0,1000000,-3,1000000,1000000,-9
TRX,0.10717982676383893,5.0,2.0,TRON,-1.0,-5.0,3,4000,-10.0,1000000,-3,1000000,1000000,-9
UNI,6.749855422449429,6.0,2.0,Uniswap,0.0,-6.0,3,4000,-9.0,1000000,-3,1000000,1000000,-9
USDC,1.000060613221383,8.0,1.0,USD Coin,0.0,-6.0,3,2500,-9.0,1000000,-3,1000000,1000000,-9
WLD,3.037579051382228,5.0,2.0,Worldcoin WLD,0.0,-6.0,3,4000,-9.0,1000000,-3,1000000,1000000,-9
XLM,0.12206987850375162,6.0,2.0,Stellar,-1.0,-5.0,3,4000,-10.0,1000000,-3,1000000,1000000,-9
XRP,0.5876652460582877,8.0,1.0,Ripple,-1.0,-5.0,3,2500,-10.0,1000000,-3,1000000,1000000,-9
